t,mag
30088.617,1.051
30088.637,0.963
30088.657,1.022
30088.677,0.995
30088.697,1.007
30088.717,1.001
30088.737,1.006
30088.757,1.006
30088.777,0.990
30088.797,1.010
30088.817,0.994
30088.837,0.991
30088.857,1.005
30088.877,1.005
30088.897,1.005
30088.917,1.003
30088.937,1.002
30088.957,1.005
30088.977,1.003
30088.997,1.003
30089.018,1.285
30089.038,1.100
30089.058,0.809
30089.078,0.958
30089.098,0.958
30089.118,1.061
30089.138,1.037
30089.158,0.954
30089.178,0.967
30089.198,1.095
30089.218,0.784
30089.238,1.026
30089.258,1.038
30089.278,0.988
30089.298,1.000
30089.318,1.007
30089.338,1.004
30089.358,0.978
30089.378,1.006
30089.398,1.003
30089.418,1.003
30089.438,1.065
30089.458,0.972
30089.478,1.017
30089.498,0.999
30089.518,1.002
30089.538,0.993
30089.558,1.019
30089.578,1.001
30089.598,0.996
30089.618,1.005
30089.638,1.009
30089.658,1.001
30089.678,1.004
30089.698,1.004
30089.718,1.005
30089.738,1.000
30089.758,1.014
30089.778,0.994
30089.798,0.995
30089.818,1.006
30089.838,1.003
30089.858,1.005
30089.878,1.002
30089.898,1.001
30089.918,1.004
30089.938,1.002
30089.958,1.000
30089.978,1.002
30089.998,0.999
30090.018,1.004
30090.038,1.003
30090.058,1.005
30090.078,1.001
30090.098,1.003
30090.118,1.002
30090.138,1.002
30090.158,1.004
30090.178,1.005
30090.198,1.003
30090.218,1.001
30090.238,1.003
30090.258,1.001
30090.278,1.002
30090.298,1.003
30090.318,1.002
30090.338,1.002
30090.358,1.001
30090.378,1.002
30090.398,1.003
30090.418,1.004
30090.438,1.003
30090.458,0.997
30090.478,1.003
30090.498,1.006
30090.518,0.995
30090.538,0.995
30090.558,1.011
30090.578,1.019
30090.598,0.996
30090.618,1.078
30090.638,0.988
30090.658,0.966
30090.678,1.058
30090.698,0.927
30090.718,1.025
30090.738,1.017
30090.758,0.988
30090.778,0.934
30090.798,1.092
30090.818,0.909
30090.838,1.118
30090.858,1.005
30090.878,1.005
30090.898,0.893
30090.918,1.108
30090.938,1.005
30090.958,0.983
30090.978,1.017
30090.998,0.991
30091.018,1.013
30091.038,1.017
30091.058,1.001
30091.078,0.921
30091.098,1.100
30091.118,1.114
30091.138,0.941
30091.158,0.979
30091.178,1.052
30091.198,0.997
30091.218,1.071
30091.238,0.963
30091.258,1.046
30091.278,1.034
30091.298,0.983
30091.318,1.036
30091.338,1.009
30091.358,1.007
30091.378,1.003
30091.398,1.028
30091.418,0.972
30091.438,0.989
30091.458,0.971
30091.478,0.920
30091.498,0.990
30091.518,1.072
30091.538,1.003
30091.558,1.004
30091.578,0.991
30091.598,1.042
30091.618,0.961
30091.638,1.019
30091.658,0.996
30091.678,1.008
30091.698,1.012
30091.718,0.976
30091.738,1.046
30091.758,1.165
30091.778,1.022
30091.798,0.848
30091.818,0.942
30091.838,1.058
30091.858,0.997
30091.878,1.062
30091.898,0.777
30091.918,0.888
30091.938,1.108
30091.958,0.933
30091.978,1.052
30091.998,1.000
30092.018,1.009
30092.038,1.013
30092.058,1.008
30092.078,0.827
30092.098,1.092
30092.118,1.016
30092.138,1.065
30092.158,1.053
30092.178,0.950
30092.198,1.031
30092.218,0.903
30092.238,0.971
30092.258,0.996
30092.278,0.978
30092.298,0.926
30092.318,0.995
30092.338,0.999
30092.358,1.012
30092.378,1.001
30092.398,1.031
30092.418,1.060
30092.438,0.936
30092.458,1.071
30092.478,1.006
30092.498,1.037
30092.518,0.988
30092.538,1.023
30092.558,0.923
30092.578,1.006
30092.598,0.866
30092.618,1.104
30092.638,0.987
30092.658,0.992
30092.678,1.011
30092.698,0.983
30092.718,1.037
30092.738,1.005
30092.758,0.988
30092.778,1.071
30092.798,0.981
30092.818,1.100
30092.838,0.999
30092.858,1.001
30092.878,1.014
30092.898,1.017
30092.918,0.999
30092.938,1.003
30092.958,0.976
30092.978,0.998
30092.998,1.017
30093.018,1.006
30093.038,1.003
30093.058,1.037
30093.078,0.973
30093.098,1.022
30093.118,0.999
30093.138,1.002
30093.158,1.003
30093.178,1.005
30093.198,1.000
30093.218,1.002
30093.238,1.000
30093.258,1.003
30093.278,1.003
30093.298,1.002
30093.318,1.004
30093.338,1.003
30093.358,1.004
30093.378,1.001
30093.398,1.003
30093.418,1.005
30093.438,1.002
30093.458,1.005
30093.478,1.002
30093.498,1.003
30093.518,1.000
30093.538,1.005
30093.558,1.004
30093.578,1.004
30093.598,1.002
30093.618,1.003
30093.638,1.001
30093.658,1.003
30093.678,1.005
30093.698,1.000
30093.718,1.003
30093.738,0.997
30093.758,0.995
30093.778,0.998
30093.798,1.007
30093.818,1.004
30093.838,1.003
30093.858,1.003
30093.878,1.004
30093.898,1.003
30093.918,0.987
30093.938,1.034
30093.958,0.854
30093.978,1.076
30093.998,0.971
30094.018,1.006
30094.038,1.001
30094.058,0.967
30094.078,1.076
30094.098,0.917
30094.118,0.955
30094.138,1.010
30094.158,1.003
30094.178,1.003
30094.198,0.956
30094.218,1.043
30094.238,0.988
30094.258,1.027
30094.278,1.018
30094.298,1.015
30094.318,0.996
30094.338,0.998
30094.358,0.999
30094.378,1.004
30094.398,0.995
30094.418,1.005
30094.438,0.984
30094.458,1.046
30094.478,1.004
30094.498,0.998
30094.518,1.004
30094.538,0.994
30094.558,1.123
30094.578,0.846
30094.598,1.095
30094.618,1.052
30094.638,0.969
30094.658,0.924
30094.678,1.137
30094.698,1.088
30094.718,0.954
30094.738,1.020
30094.758,1.005
30094.778,0.765
30094.798,1.175
30094.818,0.941
30094.838,1.016
30094.858,1.051
30094.878,0.964
30094.898,1.021
30094.918,0.986
30094.938,1.000
30094.958,0.861
30094.978,1.385
30094.998,0.947
30095.018,0.932
30095.038,1.092
30095.058,0.979
30095.078,0.989
30095.098,0.970
30095.118,1.003
30095.138,1.014
30095.158,0.974
30095.178,1.157
30095.198,0.829
30095.218,1.088
