n,takeoff_s,airtime_raw_s,airtime_s,height_m,med_a_g,med_w_dps,med_acorr_g,n_air
1,183320.344,0.800,0.819,0.822,0.055,312,0.055,144
2,183321.891,0.800,0.819,0.822,0.085,503,0.085,144
3,183323.562,0.860,0.880,0.948,0.036,315,0.036,156
4,183733.531,0.319,0.339,0.140,0.993,151,0.993,47
5,193319.016,0.795,0.814,0.812,0.112,536,0.112,143
6,193320.453,0.774,0.794,0.772,0.088,243,0.088,139
7,193322.125,0.840,0.859,0.905,0.071,354,0.071,152
8,193976.406,0.271,0.290,0.103,0.524,25,0.524,38
9,193978.859,0.761,0.780,0.746,0.502,44,0.502,150
10,194166.125,0.479,0.499,0.305,1.225,140,1.225,80
11,195459.500,0.274,0.294,0.106,0.666,105,0.666,38
12,195464.062,0.330,0.349,0.150,1.533,105,1.533,50
13,196821.844,0.668,0.687,0.579,0.140,617,0.140,117
14,196823.719,0.662,0.681,0.569,0.231,783,0.231,116
15,196827.953,0.750,0.769,0.725,0.082,344,0.082,134
