n,takeoff_s,airtime_raw_s,airtime_s,height_m,med_a_g,med_w_dps,med_acorr_g,n_air
1,116989.828,0.940,0.960,1.129,0.105,702,0.105,172
2,116992.578,0.515,0.534,0.349,0.255,915,0.255,87
3,116993.117,0.520,0.539,0.356,0.151,733,0.151,88
4,116994.016,0.360,0.380,0.177,1.330,465,1.330,56
5,116995.172,0.860,0.880,0.948,0.046,366,0.046,156
6,117539.391,0.351,0.370,0.168,1.311,110,1.311,54
7,119796.648,0.390,0.409,0.205,1.198,140,1.198,61
8,120914.281,0.255,0.274,0.092,1.404,137,1.404,35
9,127091.242,0.286,0.305,0.114,0.639,245,0.639,41
10,178711.953,0.810,0.829,0.842,0.052,167,0.052,146
11,178714.281,0.935,0.954,1.115,0.126,660,0.126,171
12,178716.562,0.910,0.929,1.059,0.040,338,0.040,166
